"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
45	1.0000000	0.0698547	0.2989382	0.9071366	0.8409425	0.8626525	0.4137773	0.0901986	0.3217317	0.4922528	0.3792680	0.4407926	0.5759435	0.1592441	0.9490458	0.1430378	0.2129102	0.0393158	0.9169264	0.8402219	0.9997585	0.9233063	0.4336419	0.8396957	0.6030819	0.3797160	0.6158100	0.0674364	0.2013549	0.1255491	0.6242322	0.0361954	0.7099724	0.0009704	0.9950971	0.0149635	0.9992996	0.0290351	0.0658840	0.4034988	0.7399817	0.9389928	0.6700022	0.9896060	0.7265126	0.1779659	0.4687395	0.3094045	0.6846821	0.8583060	0.0041164	0.1922081	0.2812178	0.9917561	0.9554737	0.3160624	0.0775679	0.1975770	0.1053665	0.4538303	0.8438847	0.1631684	0.0129455	0.6453183
50	1.0000000	0.0699939	0.3062339	0.9071385	0.8496615	0.8647811	0.4158904	0.0891727	0.3215044	0.4918216	0.3773001	0.4469137	0.5708494	0.1596369	0.9490476	0.1430862	0.2146445	0.0392834	0.9169829	0.8402234	0.9997575	0.9341738	0.4334886	0.8397071	0.6045521	0.3697347	0.6299239	0.0603347	0.1861197	0.1230169	0.6275324	0.0369166	0.6962208	0.0009833	0.9957014	0.0149635	0.9992970	0.0293577	0.0759556	0.4286873	0.7360952	0.9458849	0.6743653	0.9893081	0.7277322	0.1780070	0.4714118	0.3096947	0.6703588	0.8556135	0.0039376	0.1898218	0.2533746	0.9911039	0.9598239	0.2928408	0.0801282	0.1940701	0.0955444	0.4537623	0.8450188	0.1591019	0.0106504	0.6486786
55	1.0000000	0.0701572	0.2863743	0.9071388	0.7595410	0.8667776	0.4180276	0.0881764	0.3212156	0.4913299	0.3752579	0.4346397	0.5657085	0.1601392	0.9490494	0.1431572	0.2165522	0.0392403	0.9170558	0.8402251	0.9997561	0.8915423	0.4332827	0.8396999	0.6060368	0.3933237	0.6057469	0.0804825	0.2098670	0.1621974	0.6308823	0.0377207	0.7330934	0.0009975	0.9939349	0.0149635	0.9991014	0.0297058	0.0874315	0.3992830	0.7457005	0.9257390	0.6790118	0.9889707	0.7290394	0.1780145	0.4742578	0.3100043	0.6933247	0.8526427	0.0045856	0.1872760	0.3424373	0.9903319	0.9399814	0.3377324	0.0829225	0.1904722	0.1146997	0.4536718	0.8053528	0.2230464	0.0294655	0.6525118
60	1.0000000	0.0703310	0.2691425	0.9071374	0.6905868	0.8685403	0.4200550	0.0872708	0.3208607	0.4907718	0.3732248	0.4237205	0.5607827	0.1607602	0.9490509	0.1432567	0.2185250	0.0391849	0.9171466	0.8402271	0.9997542	0.8555907	0.4330157	0.8396686	0.6074848	0.4134159	0.5839454	0.0979927	0.2314012	0.1970533	0.6340969	0.0385610	0.7652028	0.0010124	0.9923564	0.0149635	0.9989131	0.0300552	0.0994066	0.3721886	0.7539380	0.9082036	0.6836329	0.9886156	0.7303493	0.1779655	0.4770778	0.3103116	0.7139796	0.8495648	0.0051346	0.1847330	0.4190509	0.9895146	0.9216246	0.3786262	0.0857755	0.1869644	0.1321450	0.4535569	0.7700131	0.2760639	0.0443678	0.6565633
65	1.0000000	0.0705008	0.2541909	0.9071340	0.6378340	0.8700150	0.4218747	0.0864953	0.3204372	0.4901437	0.3712662	0.4140020	0.5562597	0.1615053	0.9490524	0.1433912	0.2204602	0.0391161	0.9172559	0.8402295	0.9997518	0.8252441	0.4326805	0.8396094	0.6088624	0.4305624	0.5643254	0.1131872	0.2509387	0.2276424	0.6370449	0.0393916	0.7931551	0.0010268	0.9909544	0.0149635	0.9987381	0.0303840	0.1110980	0.3472226	0.7610162	0.8929606	0.6879643	0.9882656	0.7315875	0.1778393	0.4797125	0.3105987	0.7325390	0.8465426	0.0055957	0.1823321	0.4848118	0.9887381	0.9048817	0.4156406	0.0885334	0.1836792	0.1479255	0.4534165	0.7391312	0.3197331	0.0560871	0.6606043
70	1.0000000	0.0706553	0.2412178	0.9071285	0.5974836	0.8711876	0.4234331	0.0858669	0.3199454	0.4894438	0.3694231	0.4053470	0.5522457	0.1623755	0.9490537	0.1435675	0.2222809	0.0390332	0.9173829	0.8402326	0.9997489	0.7995993	0.4322726	0.8395204	0.6101522	0.4452216	0.5467012	0.1263494	0.2686743	0.2541612	0.6396554	0.0401769	0.8174799	0.0010402	0.9897172	0.0149635	0.9985808	0.0306773	0.1219769	0.3242178	0.7671124	0.8797298	0.6918311	0.9879381	0.7327036	0.1776218	0.4820674	0.3108558	0.7491985	0.8436974	0.0059789	0.1801659	0.5411226	0.9880662	0.8898153	0.4489446	0.0910908	0.1806951	0.1620983	0.4532504	0.7126090	0.3554119	0.0652171	0.6644775
75	1.0000000	0.0707866	0.2299614	0.9071207	0.5666288	0.8720640	0.4247055	0.0853892	0.3193879	0.4886733	0.3677198	0.3976332	0.5487963	0.1633670	0.9490548	0.1437924	0.2239332	0.0389363	0.9175260	0.8402364	0.9997454	0.7778990	0.4317900	0.8394012	0.6113451	0.4577767	0.5308990	0.1377300	0.2847831	0.2768821	0.6418960	0.0408916	0.8386400	0.0010521	0.9886324	0.0149635	0.9984438	0.0309260	0.1317052	0.3030201	0.7723761	0.8682636	0.6951291	0.9876457	0.7336660	0.1773062	0.4840931	0.3110801	0.7641364	0.8411135	0.0062936	0.1782905	0.5892168	0.9875342	0.8764338	0.4787470	0.0933808	0.1780570	0.1747362	0.4530595	0.6902179	0.3842826	0.0722432	0.6680849
80	1.0000000	0.0708903	0.2201946	0.9071108	0.5430455	0.8726607	0.4256868	0.0850579	0.3187698	0.4878350	0.3661690	0.3907518	0.5459335	0.1644723	0.9490559	0.1440724	0.2253823	0.0388259	0.9176827	0.8402412	0.9997413	0.7595083	0.4312339	0.8392530	0.6124370	0.4685497	0.5167565	0.1475510	0.2994221	0.2961113	0.6437582	0.0415191	0.8570404	0.0010622	0.9876873	0.0149635	0.9983283	0.0311254	0.1400819	0.2834876	0.7769333	0.8583429	0.6978074	0.9873962	0.7344585	0.1768922	0.4857715	0.3112741	0.7775156	0.8388442	0.0065487	0.1767342	0.6301797	0.9871523	0.8647042	0.5052847	0.0953652	0.1757885	0.1859266	0.4528454	0.6716593	0.4073800	0.0775642	0.6713744
85	1.0000000	0.0709651	0.2117202	0.9070988	0.5250316	0.8729996	0.4263849	0.0848637	0.3180977	0.4869341	0.3647750	0.3846060	0.5436566	0.1656800	0.9490569	0.1444133	0.2266091	0.0387033	0.9178499	0.8402470	0.9997365	0.7438960	0.4306081	0.8390777	0.6134267	0.4778120	0.5041239	0.1560091	0.3127318	0.3121614	0.6452484	0.0420503	0.8730348	0.0010704	0.9868694	0.0149635	0.9982344	0.0312743	0.1470042	0.2654894	0.7808899	0.8497738	0.6998550	0.9871933	0.7350759	0.1763851	0.4871045	0.3114445	0.7894849	0.8369182	0.0067529	0.1755048	0.6649656	0.9869129	0.8545629	0.5288128	0.0970270	0.1738990	0.1957684	0.4526106	0.6566011	0.4256109	0.0815082	0.6743277
90	1.0000000	0.0710114	0.2043674	0.9070850	0.5112850	0.8731050	0.4268161	0.0847947	0.3173801	0.4859770	0.3635369	0.3791095	0.5419482	0.1669755	0.9490577	0.1448201	0.2276068	0.0385699	0.9180242	0.8402542	0.9997312	0.7306177	0.4299189	0.8388783	0.6143143	0.4857924	0.4928624	0.1632788	0.3248382	0.3253371	0.6463818	0.0424820	0.8869326	0.0010766	0.9861665	0.0149635	0.9981610	0.0313739	0.1524402	0.2489051	0.7843344	0.8423846	0.7012893	0.9870379	0.7355213	0.1757942	0.4881071	0.3116001	0.8001812	0.8353446	0.0069138	0.1745950	0.6944132	0.9867987	0.8459251	0.5495958	0.0983648	0.1723877	0.2043686	0.4523577	0.6446985	0.4397679	0.0843463	0.6769503
