"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
45	0.6644656	0.0779381	0.1563346	0.9002976	0.4471265	0.8339631	0.4076652	0.0958498	0.3174543	0.5023691	0.3977770	0.3348166	0.5902330	0.1612801	0.9397800	0.1336537	0.2067155	0.0422425	0.9074191	0.8313759	0.9997699	0.6610036	0.4492474	0.8328649	0.5960895	0.5471088	0.3929203	0.2135849	0.4356229	0.2463545	0.6043606	0.0337809	0.9749959	0.0011058	0.9839717	0.0149683	0.9987733	0.0305622	0.0390880	0.0545660	0.8164365	0.8005577	0.6489864	0.9898051	0.7200277	0.1878592	0.4587546	0.3343452	0.9108713	0.8679474	0.0098897	0.2206468	0.8688955	0.9938165	0.8759220	0.7003358	0.0713990	0.2165200	0.2636922	0.4515236	0.7124064	0.4268101	0.0950420	0.6307117
50	0.6173020	0.0818014	0.1563518	0.8971175	0.4402753	0.8284282	0.4094151	0.0958832	0.3154895	0.5057940	0.4010129	0.3351017	0.5857106	0.1626153	0.9352548	0.1302346	0.2067090	0.0436599	0.9022282	0.8280390	0.9997732	0.6583768	0.4551971	0.8301303	0.5959762	0.5416441	0.3929518	0.2160810	0.4361028	0.2465923	0.6015045	0.0338214	0.9740977	0.0011900	0.9839709	0.0149679	0.9987195	0.0318883	0.0390540	0.0545504	0.8182529	0.8005252	0.6470209	0.9894490	0.7192819	0.1919109	0.4588833	0.3427011	0.9122638	0.8679508	0.0109344	0.2277808	0.8713487	0.9938713	0.8774671	0.7034860	0.0727265	0.2183518	0.2636727	0.4504940	0.7072240	0.4267677	0.0957223	0.6284764
55	0.5716880	0.0867399	0.1563879	0.8929928	0.4321964	0.8220397	0.4116232	0.0959334	0.3130839	0.5099681	0.4048884	0.3354182	0.5801524	0.1643673	0.9292747	0.1262989	0.2067002	0.0455828	0.8948242	0.8241003	0.9997770	0.6551370	0.4622710	0.8267655	0.5958448	0.5349564	0.3930009	0.2191432	0.4367983	0.2468907	0.5974880	0.0338978	0.9729205	0.0013007	0.9839690	0.0149675	0.9986473	0.0336567	0.0390216	0.0545361	0.8204506	0.8004809	0.6443649	0.9889833	0.7183592	0.1967191	0.4590325	0.3518448	0.9139023	0.8679642	0.0124165	0.2361840	0.8742804	0.9939387	0.8793728	0.7072987	0.0744049	0.2207004	0.2636398	0.4492084	0.7009613	0.4267007	0.0966805	0.6257238
60	0.5279675	0.0928697	0.1564496	0.8877950	0.4229232	0.8148912	0.4143136	0.0960039	0.3102141	0.5148933	0.4093536	0.3357790	0.5735815	0.1666229	0.9216113	0.1219029	0.2066879	0.0481536	0.8845637	0.8195844	0.9997814	0.6512384	0.4704157	0.8227333	0.5956948	0.5270347	0.3930734	0.2227957	0.4377944	0.2472542	0.5919740	0.0340421	0.9714085	0.0014432	0.9839656	0.0149671	0.9985520	0.0359673	0.0389924	0.0545230	0.8230389	0.8004221	0.6408429	0.9883862	0.7172445	0.2022435	0.4591941	0.3615421	0.9157767	0.8679897	0.0144684	0.2457992	0.8776793	0.9940193	0.8816555	0.7117698	0.0764791	0.2236334	0.2635882	0.4476430	0.6936543	0.4266041	0.0979999	0.6224370
65	0.4863731	0.1002766	0.1565451	0.8814138	0.4125185	0.8070932	0.4174897	0.0960982	0.3068645	0.5205472	0.4143329	0.3361985	0.5660774	0.1694837	0.9120797	0.1171171	0.2066706	0.0515536	0.8708451	0.8145324	0.9997864	0.6466414	0.4795311	0.8180085	0.5955249	0.5179198	0.3931760	0.2270484	0.4392056	0.2476869	0.5845971	0.0343145	0.9694979	0.0016227	0.9839598	0.0149667	0.9984281	0.0389331	0.0389682	0.0545111	0.8260189	0.8003454	0.6362529	0.9876322	0.7159245	0.2084179	0.4593570	0.3715584	0.9178713	0.8680295	0.0172367	0.2565267	0.8815191	0.9941136	0.8843204	0.7168722	0.0789944	0.2272120	0.2635122	0.4457769	0.6853906	0.4264731	0.0997815	0.6186129
70	0.4470495	0.1090050	0.1566832	0.8737674	0.4010703	0.7987602	0.4211348	0.0962187	0.3030282	0.5268868	0.4197315	0.3366923	0.5577666	0.1730674	0.9005690	0.1120206	0.2066455	0.0560129	0.8532795	0.8089978	0.9997919	0.6413117	0.4894775	0.8125790	0.5953336	0.5077013	0.3933163	0.2318969	0.4411807	0.2481912	0.5750072	0.0348260	0.9671158	0.0018446	0.9839501	0.0149664	0.9982689	0.0426781	0.0389516	0.0545003	0.8293837	0.8002475	0.6303741	0.9866912	0.7143875	0.2151558	0.4595073	0.3816741	0.9201662	0.8680858	0.0208677	0.2682301	0.8857600	0.9942215	0.8873610	0.7225585	0.0819944	0.2314879	0.2634055	0.4435916	0.6763009	0.4263032	0.1021412	0.6142614
75	0.4100716	0.1190505	0.1568742	0.8648108	0.3886869	0.7899991	0.4252143	0.0963664	0.2987072	0.5338530	0.4254432	0.3372770	0.5488088	0.1775087	0.8870657	0.1066961	0.2066086	0.0618191	0.8318598	0.8030414	0.9997978	0.6352200	0.5000851	0.8064463	0.5951178	0.4965111	0.3935026	0.2373221	0.4439043	0.2487686	0.5629296	0.0357660	0.9641792	0.0021136	0.9839341	0.0149661	0.9980660	0.0473325	0.0389452	0.0544907	0.8331190	0.8001248	0.6229836	0.9855274	0.7126246	0.2223584	0.4596296	0.3916947	0.9226378	0.8681607	0.0254864	0.2807436	0.8903518	0.9943428	0.8907588	0.7287653	0.0855202	0.2364994	0.2632618	0.4410715	0.6665469	0.4260904	0.1052027	0.6094052
80	0.3754601	0.1303565	0.1571286	0.8545422	0.3754929	0.7809004	0.4296798	0.0965404	0.2939117	0.5413756	0.4313575	0.3379706	0.5393828	0.1829583	0.8716628	0.1012264	0.2065535	0.0693221	0.8070386	0.7967262	0.9998041	0.6283409	0.5111652	0.7996258	0.5948731	0.4845123	0.3937440	0.2432913	0.4475894	0.2494185	0.5482253	0.0374149	0.9605947	0.0024330	0.9839077	0.0149659	0.9978087	0.0530239	0.0389526	0.0544824	0.8372036	0.7999735	0.6138817	0.9840983	0.7106289	0.2299207	0.4597082	0.4014564	0.9252609	0.8682561	0.0311759	0.2938817	0.8952360	0.9944770	0.8944844	0.7354183	0.0896084	0.2422686	0.2630749	0.4382043	0.6563076	0.4258314	0.1090844	0.6040786
85	0.3431939	0.1428164	0.1574573	0.8430035	0.3616235	0.7715322	0.4344739	0.0967370	0.2886604	0.5493778	0.4373658	0.3387921	0.5296736	0.1895793	0.8545520	0.0956900	0.2064704	0.0789296	0.7796631	0.7901116	0.9998107	0.6206527	0.5225220	0.7921464	0.5945923	0.4718873	0.3940502	0.2497600	0.4524578	0.2501393	0.5309293	0.0400978	0.9562587	0.0028048	0.9838633	0.0149657	0.9974839	0.0598666	0.0389777	0.0544755	0.8416102	0.7997905	0.6029234	0.9823523	0.7083969	0.2377378	0.4597280	0.4108274	0.9280089	0.8683737	0.0379627	0.3074495	0.9003494	0.9946233	0.8984994	0.7424363	0.0942888	0.2487994	0.2628391	0.4349809	0.6457666	0.4255235	0.1138819	0.5983254
90	0.3132204	0.1562818	0.1578706	0.8302777	0.3472206	0.7619373	0.4395350	0.0969483	0.2829796	0.5577798	0.4433660	0.3397618	0.5198626	0.1975402	0.8360019	0.0901594	0.2063451	0.0910867	0.7508002	0.7832480	0.9998175	0.6121375	0.5339630	0.7840502	0.5942658	0.4588263	0.3944312	0.2566736	0.4587098	0.2509298	0.5112523	0.0440614	0.9510581	0.0032283	0.9837877	0.0149655	0.9970750	0.0679488	0.0390253	0.0544704	0.8463067	0.7995730	0.5900507	0.9802275	0.7059285	0.2457091	0.4596754	0.4197079	0.9308552	0.8685149	0.0458133	0.3212521	0.9056268	0.9947807	0.9027579	0.7497360	0.0995825	0.2560760	0.2625494	0.4313957	0.6351008	0.4251649	0.1196498	0.5921975
