"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
45	0.7752934	0.0334736	0.1951920	0.6388214	0.4979555	0.6266973	0.2527066	0.0867283	0.1853751	0.3301733	0.1973407	0.2158912	0.3794031	0.1130009	0.5326942	0.1103335	0.1758090	0.0278976	0.6464610	0.6341146	0.6204910	0.5343497	0.3454958	0.5631397	0.4280341	0.3013986	0.5527548	0.0377342	0.1124275	0.1167865	0.4093200	0.0208154	0.4601406	0.0005306	0.6078041	0.0290010	0.7230945	0.0259373	0.1254944	0.3586547	0.6794529	0.5590913	0.4450690	0.6253282	0.5758474	0.1424945	0.4086479	0.1987660	0.5351307	0.5586117	0.0015364	0.1482065	0.1878849	0.6627229	0.7910321	0.1525739	0.0374282	0.1234920	0.0550673	0.2514015	0.5573947	0.1062328	0.0064498	0.5241255
50	0.7278311	0.0522756	0.1883916	0.7858373	0.5325150	0.5904675	0.2463715	0.0507157	0.2965468	0.3289441	0.2192259	0.2460491	0.4474644	0.0767668	0.6365792	0.0791688	0.2358966	0.0385521	0.7213268	0.5973949	0.5537201	0.4728622	0.2917783	0.5607570	0.4210248	0.2875010	0.4744075	0.0440160	0.1130370	0.0742426	0.3916225	0.0389243	0.4787536	0.0002105	0.6313682	0.0144369	0.6993867	0.0314659	0.0509513	0.2576581	0.5332695	0.5522175	0.4385063	0.5166850	0.5937242	0.0907221	0.2905973	0.1472846	0.4973248	0.5990111	0.0011525	0.1473933	0.1728696	0.7241686	0.6764928	0.1840207	0.0406015	0.1148970	0.0554234	0.3442695	0.6260784	0.1271416	0.0069925	0.4865436
55	0.6342096	0.0348093	0.1270327	0.6840346	0.5018234	0.6234091	0.2547223	0.0580729	0.1430567	0.4040024	0.2336339	0.2000300	0.3082564	0.0969242	0.6099656	0.0877959	0.2002007	0.0322146	0.5926773	0.5537774	0.5834337	0.5275722	0.3020542	0.4619200	0.4712401	0.2307914	0.4888212	0.0922555	0.1482769	0.0920889	0.4660421	0.0438609	0.4292396	0.0027014	0.6451885	0.0071220	0.5785158	0.0258887	0.0573883	0.2266705	0.5575646	0.6430103	0.5147791	0.7506763	0.4079298	0.1353900	0.2540822	0.1641133	0.4974368	0.5758318	0.0091080	0.0837416	0.2612263	0.5706199	0.7407130	0.2192457	0.0628312	0.1193785	0.0620619	0.2919164	0.6646864	0.1000498	0.0356537	0.5559303
60	0.6963676	0.0466490	0.2261699	0.6926188	0.4203512	0.5366136	0.3043549	0.0415775	0.1926071	0.2967192	0.2560357	0.2729257	0.3900996	0.1022414	0.7104479	0.0967645	0.1982681	0.0482193	0.6673472	0.5097073	0.7142647	0.5888256	0.3201788	0.5189359	0.4068914	0.2338465	0.4337536	0.0723867	0.1480302	0.1084648	0.4438016	0.0325049	0.3414788	0.0022527	0.7160170	0.0079245	0.5207450	0.0209562	0.1090411	0.2817500	0.5634927	0.5945063	0.4322332	0.7277280	0.4703637	0.0934441	0.3320145	0.1641448	0.4699935	0.5231561	0.0031442	0.1125516	0.2839018	0.6793106	0.5985466	0.2392826	0.0285743	0.1070172	0.1063216	0.2332008	0.4829992	0.1825319	0.0335446	0.5768108
65	0.7134965	0.0444749	0.1745516	0.6840202	0.4500638	0.4497689	0.2737125	0.0371104	0.1796016	0.3309308	0.2437724	0.2188111	0.3806386	0.1091746	0.6057001	0.1052095	0.2140697	0.0565524	0.7437670	0.6258881	0.5438936	0.5720826	0.3372809	0.5451012	0.4199284	0.2520296	0.4052432	0.0648638	0.1036732	0.1639453	0.3555360	0.0410902	0.4866326	0.0047026	0.5588166	0.0159251	0.6507428	0.0300315	0.0877882	0.3081114	0.5287541	0.6384224	0.3882427	0.6501301	0.4537447	0.1575659	0.3025528	0.1819206	0.4911455	0.6473706	0.0032568	0.1120836	0.2800182	0.7712817	0.5707443	0.2170635	0.0693221	0.1487032	0.0963020	0.3112919	0.5244744	0.2449859	0.0611426	0.4262916
70	0.7327677	0.0300221	0.1616062	0.5922279	0.4050417	0.6018453	0.3059461	0.0651712	0.1801155	0.3018142	0.2645197	0.1846870	0.4301891	0.1100522	0.6163814	0.1397371	0.1523589	0.0257336	0.6427087	0.5725245	0.5726977	0.5583893	0.2865754	0.5015950	0.3860532	0.2462134	0.4012130	0.1135625	0.1646069	0.1436501	0.4358230	0.0420077	0.5553337	0.0026042	0.5871928	0.0083411	0.5982304	0.0289342	0.1139337	0.2378022	0.5474826	0.5709176	0.5021171	0.5471551	0.5155037	0.1199203	0.3281888	0.1686335	0.4948732	0.5716581	0.0021232	0.1137115	0.3962774	0.5983452	0.6260319	0.2403035	0.0540262	0.1139400	0.1073694	0.3021736	0.5394483	0.2223249	0.0467261	0.4194452
75	0.5239040	0.0354882	0.1713179	0.7700769	0.3184453	0.5237397	0.2790960	0.0368561	0.2645476	0.3578354	0.2297305	0.2079144	0.4016965	0.1418831	0.5484085	0.0605982	0.1517003	0.0366373	0.5838045	0.7200156	0.6923644	0.4718373	0.2588473	0.5104770	0.4004971	0.2771840	0.3756917	0.1263292	0.1777568	0.1646508	0.4544851	0.0199852	0.4911719	0.0147972	0.5861791	0.0061806	0.6270612	0.0184284	0.1081798	0.2769569	0.5731563	0.5337094	0.4592176	0.7653726	0.5240945	0.1396780	0.3085376	0.1904923	0.4619499	0.6799016	0.0069713	0.1285834	0.4639346	0.7696325	0.5484210	0.2458046	0.0694199	0.1175905	0.1042608	0.2955701	0.4585449	0.2447855	0.0554834	0.3659522
80	0.7008085	0.0546451	0.1679233	0.5782930	0.4420948	0.5871768	0.2529495	0.0396722	0.2604016	0.3786456	0.2873428	0.2019271	0.3630002	0.1225365	0.6373278	0.1098972	0.1676553	0.0521007	0.6263581	0.5026005	0.6425413	0.4439336	0.2820093	0.5838524	0.3824151	0.3415074	0.4299408	0.1119349	0.1253629	0.1755094	0.4966226	0.0511164	0.5343839	0.0048247	0.8150168	0.0063579	0.6686370	0.0223615	0.1112557	0.1887470	0.5851283	0.6021472	0.4000866	0.7098256	0.4961285	0.1517510	0.3362165	0.1623411	0.5795685	0.5401088	0.0253987	0.1407701	0.4711683	0.6237579	0.4932677	0.3167025	0.0518783	0.1496376	0.1609025	0.3094838	0.4569488	0.2596024	0.0604394	0.5089382
85	0.6233145	0.0302432	0.1729977	0.6554855	0.2418484	0.5543175	0.2633529	0.0327661	0.2337278	0.2972445	0.2009960	0.2385518	0.3125652	0.1659055	0.6665643	0.0667297	0.1792867	0.0297320	0.6682375	0.5083674	0.7419751	0.4204665	0.3073051	0.5647764	0.4771154	0.3652571	0.3564084	0.0695574	0.2018709	0.1604909	0.3185668	0.0348782	0.5869446	0.0039895	0.6878174	0.0085485	0.6502506	0.0276410	0.0995505	0.1921697	0.5090051	0.5652234	0.4814664	0.6899446	0.5125556	0.1286057	0.3031354	0.1575923	0.4600295	0.6569496	0.0074819	0.1347885	0.5002998	0.7306659	0.5234621	0.3047349	0.0591018	0.1264508	0.1146712	0.3101820	0.4278027	0.3282414	0.0657287	0.4394543
90	0.7346076	0.0368501	0.1541440	0.6289582	0.2833469	0.5877463	0.3592465	0.0548047	0.2212870	0.4065631	0.2737734	0.1767724	0.4370961	0.1614238	0.6321311	0.0756300	0.1780757	0.0348567	0.8010793	0.6255412	0.6895164	0.4689744	0.2822577	0.5501326	0.4064658	0.3229009	0.3618781	0.0944964	0.1730480	0.2773586	0.3883859	0.0248540	0.5127887	0.0064074	0.7990574	0.0059708	0.6534489	0.0243843	0.1065267	0.1762456	0.5759604	0.6854416	0.5875357	0.6942818	0.4437703	0.1389447	0.2897950	0.2112270	0.5087343	0.6602990	0.0070087	0.1077250	0.4743979	0.7193510	0.5580255	0.3161643	0.0465606	0.1054392	0.1641094	0.3171099	0.4020676	0.2685485	0.0787759	0.4284090
