G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
0.9774554	0.0622523	0.1622197	0.9337434	0.4795268	0.8471949	0.4352589	0.0949261	0.3178611	0.0931786	0.0000000	0.0352502	0.6786282	0.1185854	0.9696981	0.1056710	0.1629973	0.0675520	0.9319487	0.8412063	1.0330579	0.6814728	0.3847031	0.9210483	0.5708942	0.5281130	0.3919460	0.2236614	0.4326156	0.3177353	0.6259745	0.0349080	1.0534670	0.0047664	1.0005767	0.0160236	1.0330076	0.0555812	0.0612709	0.0554163	0.7467643	0.7031938	0.6374418	1.0111743	0.7151523	0.1730338	0.4286831	0.3281909	0.9162046	0.9907413	0.0040884	0.1829593	0.9624708	0.9827248	0.9562619	0.7280664	0.0883515	0.2067604	0.2925787	0.4916021	0.6360452	0.4827485	0.1120070	0.6776902
1.0721858	0.0809088	0.1009398	0.8963773	0.4249172	0.8994570	0.4050194	0.1267898	0.3824809	0.5879030	0.6693627	0.0000000	0.6041199	0.1601625	0.9602391	0.0931238	0.1923810	0.0577177	0.9187910	0.8106745	1.0331024	0.7054953	0.4462195	0.8579064	0.6337201	0.5704052	0.4466210	0.2366235	0.4749851	0.2197588	0.5400509	0.0478908	1.0060425	0.0026555	0.9625343	0.0195611	0.9811855	0.0291843	0.0481867	0.0718420	0.7634293	0.8380557	0.6882525	1.0133846	0.7626051	0.1714582	0.4672366	0.3468496	0.9933102	0.8370988	0.0082137	0.2327722	0.8203388	1.0429628	0.9636154	0.7046943	0.0608391	0.1903813	0.2387638	0.4730307	0.7827443	0.4335731	0.0752381	0.6005244
0.9167835	0.0677840	0.1539580	0.8436903	0.5560734	0.8066804	0.3900784	0.0861977	0.0500202	0.5413535	0.2920167	0.3340864	0.0000000	0.4973202	0.6238814	0.9770043	0.2331571	0.0169498	0.9579035	0.9185288	0.9042370	0.5509211	0.3992864	0.8460654	0.5747208	0.5422988	0.4014442	0.1992087	0.4476261	0.2591100	0.5697111	0.0390479	0.9606778	0.0004199	0.9405808	0.0076321	1.0138984	0.0335471	0.0606028	0.0358783	0.7938357	0.7564814	0.6009735	0.9998154	0.7906105	0.2190163	0.4485292	0.3369568	0.9539805	0.9106586	0.0044017	0.1483740	0.8790228	1.0431030	0.8406988	0.6963478	0.0696402	0.2336114	0.2634281	0.4636955	0.7323254	0.4876372	0.1027265	0.7569632
1.1290633	0.0581888	0.1668947	0.9996000	0.4149752	0.8524089	0.4373025	0.0848904	0.3734167	0.5683543	0.4553577	0.3901606	0.6192984	0.0000000	0.9681193	0.0006431	0.2040261	0.0407865	0.9059724	0.8427239	1.0590955	0.6443441	0.4164216	0.8671867	0.5911141	0.5533423	0.3908159	0.2681068	0.4291517	0.2606440	0.6031438	0.0329327	0.9828158	0.0021108	0.9440527	0.0079442	0.9447120	0.0341185	0.0381694	0.0609692	0.8521370	0.7922365	0.6219674	1.0310135	0.7059011	0.2322895	0.4455845	0.2942481	0.9053742	0.8509655	0.0140812	0.2017593	0.8740825	1.0316261	0.8897949	0.7786648	0.0878996	0.2254931	0.2562840	0.5209571	0.6590377	0.4606849	0.0931776	0.6442138
0.9952258	0.0698010	0.1774983	0.9359470	0.4726323	0.8967633	0.3948547	0.1248405	0.3314473	0.4586014	0.3589916	0.3339963	0.6035486	0.5796770	0.0000000	0.2890853	0.1928437	0.0310643	0.9083355	0.8862509	1.0152295	0.7075460	0.4398473	0.8329472	0.5875405	0.5915723	0.3885196	0.2018808	0.4185775	0.2598978	0.6023432	0.0342707	0.9298066	0.0008191	1.0305310	0.0078879	1.0031534	0.0455053	0.0499405	0.0707666	0.7631600	0.8231705	0.6571497	0.9221388	0.8030017	0.1912913	0.5802699	0.2919065	0.9175902	0.8813733	0.0087286	0.1918639	0.8501010	0.9361593	0.9073474	0.7589992	0.0455116	0.1894036	0.2547910	0.4326642	0.6936528	0.4521823	0.0823203	0.7227838
1.0461102	0.0526420	0.1610605	0.8926730	0.5441513	0.9260475	0.3855042	0.0978411	0.3630740	0.4648530	0.3536833	0.3108841	0.7121944	0.1129124	1.0260668	0.0000000	0.2031478	0.0337172	0.9231785	0.8718539	1.0184778	0.6782329	0.4088615	0.9671357	0.5967284	0.7430223	0.4206074	0.2102093	0.4167871	0.2734715	0.7184149	0.0434505	1.1891651	0.0007794	1.0451316	0.0122582	0.9633281	0.0261895	0.0409727	0.0518791	0.7565865	0.8163478	0.6464393	1.0437079	0.7555846	0.1670550	0.4494816	0.2244818	0.9109317	0.9454872	0.0072021	0.1790052	0.8499162	0.9921875	0.8462514	0.6424255	0.0892416	0.2224953	0.3027796	0.4974044	0.7793506	0.4634003	0.1016964	0.6157057
0.9970748	0.0439387	0.1830984	0.8710742	0.4647008	0.8303163	0.3863926	0.1400854	0.3048399	0.5397520	0.3654238	0.3187150	0.5711235	0.1521364	0.9469911	0.1185974	0.0007759	1.0351447	0.9730977	0.2365882	1.0449383	0.8501295	0.5348322	0.8459322	0.6670727	0.8831107	0.4111831	0.2993077	0.1281402	0.4666490	0.7548539	0.0699386	1.0130505	0.0007323	1.0308798	0.0167300	0.9652477	0.0245581	0.0501776	0.0621617	0.7871484	0.7329803	0.6531340	1.0617068	0.7302701	0.1892963	0.5498660	0.3362366	1.0258530	0.9250430	0.0048820	0.2229942	0.8213093	0.9545246	0.9371790	0.7414565	0.0556710	0.2140103	0.2751619	0.4618801	0.8312803	0.4052950	0.1165233	0.5487375
0.9856581	0.0585461	0.1559471	0.8717651	0.4661431	0.9589807	0.4222192	0.0821847	0.3134411	0.4330718	0.4200557	0.3102972	0.6261517	0.1577431	0.9585023	0.1125535	0.2442028	0.0000000	0.9856738	0.8966625	1.0622520	0.6363601	0.4343507	0.8471404	0.5813499	0.5695293	0.3550800	0.1410741	0.4120996	0.3138393	0.6064532	0.0477777	0.9924751	0.0019981	1.0413124	0.0232634	1.0622210	0.0345254	0.0550551	0.0348177	0.8025020	0.8213266	0.7507051	1.0766227	0.6659531	0.1421669	0.4771097	0.3367661	0.7851171	0.8286456	0.0065477	0.1981717	0.9324700	1.0064037	0.8596069	0.7300989	0.0892098	0.1793414	0.2706747	0.4570874	0.7389730	0.4785814	0.0962123	0.7142072
1.0319773	0.0564512	0.1257083	0.8797485	0.5036736	0.8896645	0.3645431	0.0944045	0.3423497	0.5108129	0.4506630	0.3344592	0.5502954	0.2233129	0.9699219	0.1704232	0.1964901	0.9915503	0.0000000	0.5913945	1.0070637	0.7221512	0.4425507	0.8545217	0.6402209	0.6059383	0.4135833	0.2425162	0.3979150	0.2486148	0.6555136	0.0276899	1.0048167	0.0018905	0.9754298	0.0102326	0.9987116	0.0316687	0.0249207	0.0598840	0.8127637	0.7846840	0.6369680	0.9908378	0.7203846	0.1630132	0.4459581	0.2887894	0.9218774	0.9369350	0.0097447	0.2252054	0.8281437	1.0053439	0.8435666	0.7144158	0.0771869	0.2140928	0.2245664	0.4689371	0.8859228	0.3982043	0.1070056	0.5241348
0.9677142	0.0833286	0.1643993	0.9907513	0.5232598	0.8400554	0.4396194	0.0888847	0.3435577	0.4494184	0.3622166	0.2979271	0.5937523	0.1857791	0.9032222	0.1666132	0.2609039	0.0414834	1.0240602	0.0000000	0.9152569	0.6382729	0.3706011	0.8479347	0.5703152	0.5184471	0.4018625	0.1938622	0.4603285	0.2810928	0.6232012	0.0245264	0.9968322	0.0039182	0.9169736	0.0097653	0.9394125	0.0338231	0.0470119	0.0293269	0.8725368	0.8014181	0.6449510	0.9960765	0.6909710	0.1983256	0.4142209	0.2826838	0.9577563	0.8712696	0.0042736	0.2107356	0.8829537	0.9013576	0.7906193	0.6758862	0.0953886	0.2276282	0.2975785	0.4558885	0.6562278	0.4553174	0.0959452	0.6407320
