"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
45	0.6883162	0.0189457	0.2415105	0.6339999	0.3883683	0.6522821	0.1761632	0.0972303	0.2142189	0.3066312	0.2832138	0.2780071	0.4374505	0.1148235	0.6147109	0.0878183	0.1606520	0.0210860	0.6000311	0.5423921	0.6729178	0.4425724	0.3579323	0.6416480	0.4656761	0.3180436	0.4188784	0.0551295	0.2497534	0.0795996	0.4481137	0.0190650	0.6492525	0.0032371	0.7062115	0.0046225	0.6529441	0.0275041	0.0713986	0.1416380	0.5614323	0.6201725	0.4699406	0.7416136	0.6230270	0.1224014	0.3357062	0.2012229	0.5023470	0.6745141	0.0127778	0.1203645	0.3836297	0.5642136	0.7089234	0.4463217	0.0581496	0.0989213	0.1655126	0.3099918	0.5181308	0.1972711	0.0479275	0.4333806
50	0.6492285	0.0453694	0.1665783	0.7996629	0.5501586	0.7133449	0.2569365	0.0729680	0.2285493	0.2896141	0.2663991	0.3499431	0.4679104	0.1298337	0.5831705	0.1029508	0.1787464	0.0403797	0.6562435	0.5776884	0.6293842	0.5571307	0.3684654	0.5515909	0.4028240	0.3186332	0.4018712	0.1271550	0.1891469	0.1144205	0.3720506	0.0216790	0.6030137	0.0001836	0.6449595	0.0063791	0.6251057	0.0162911	0.0365956	0.2342951	0.5985104	0.6994461	0.4526393	0.6631635	0.4755348	0.1403624	0.2917532	0.1559436	0.4554959	0.6312002	0.0035717	0.1327648	0.3876529	0.6545902	0.6965158	0.4202978	0.0461090	0.1625682	0.0774997	0.2758760	0.6498906	0.2241725	0.0483305	0.4492765
55	0.7064573	0.0372783	0.2557183	0.6902486	0.6007255	0.5932451	0.1949157	0.0870740	0.2126013	0.3721021	0.2054841	0.2910722	0.3800145	0.1255851	0.5923974	0.1137137	0.1751376	0.0293904	0.5557957	0.5169407	0.6537496	0.4836609	0.2684534	0.4981760	0.4993757	0.2641108	0.4328860	0.0862594	0.2059245	0.0967002	0.4248378	0.0285075	0.4264524	0.0003039	0.6268168	0.0067270	0.6379549	0.0110417	0.0515010	0.1471964	0.6952390	0.6196272	0.5398773	0.5770268	0.5041258	0.1646998	0.2896859	0.1846418	0.5101928	0.5827992	0.0012574	0.1494007	0.3698904	0.6715462	0.7643432	0.3707054	0.0508052	0.1306611	0.0999694	0.3035461	0.4793815	0.2034547	0.0297483	0.4261743
60	0.7130141	0.0656854	0.1762374	0.7656382	0.5493758	0.6510238	0.2188301	0.0642058	0.2287531	0.2617281	0.2676265	0.3011817	0.4740675	0.1020496	0.6037731	0.0966049	0.1977222	0.0261096	0.7288994	0.6256582	0.6464441	0.5542503	0.2543781	0.5463108	0.4470768	0.3192438	0.5039502	0.0689342	0.1816236	0.1069469	0.4221509	0.0299361	0.4947908	0.0010939	0.6290037	0.0016953	0.7586647	0.0169138	0.0598624	0.1712419	0.5809157	0.5551865	0.5434420	0.8307093	0.5055061	0.1601165	0.2841084	0.2313480	0.5333353	0.6252446	0.0012766	0.1240381	0.3268550	0.6199415	0.6087065	0.3000912	0.0433489	0.1456992	0.0958261	0.3280605	0.5055739	0.2247114	0.0405396	0.3937193
65	0.6907580	0.0270775	0.1564081	0.6614685	0.5838695	0.5271069	0.2432927	0.0490216	0.1723864	0.3117032	0.3150091	0.2959125	0.4983374	0.0813276	0.7093200	0.1660217	0.1914795	0.0611763	0.6192429	0.5247790	0.6792829	0.4592802	0.3688343	0.5438943	0.4750103	0.3153369	0.4160110	0.0930504	0.2342663	0.1723754	0.4394647	0.0157988	0.5454731	0.0017520	0.6262721	0.0169535	0.6760173	0.0185115	0.0535913	0.1705453	0.6091510	0.5892565	0.3891090	0.7333349	0.4556732	0.1278020	0.3157460	0.2046889	0.5681299	0.6811632	0.0068542	0.1299045	0.3241782	0.7316500	0.6940369	0.4107256	0.0452108	0.1162064	0.1281453	0.3279135	0.4798787	0.1493920	0.0169714	0.4881294
70	0.6178160	0.0480290	0.1414948	0.7068446	0.6026009	0.5840277	0.2485364	0.0620315	0.2290089	0.3716146	0.2536594	0.2517022	0.3996006	0.0609048	0.6762351	0.1181576	0.1798212	0.0331682	0.5758900	0.5217516	0.6428479	0.5311045	0.2985165	0.6288797	0.4731672	0.3751614	0.4257894	0.1080180	0.2557697	0.1909687	0.4650375	0.0318383	0.4876698	0.0008259	0.6523086	0.0183424	0.7724374	0.0285654	0.0475972	0.1985253	0.5650682	0.5905621	0.4205024	0.7208969	0.4430731	0.1515090	0.2863523	0.1943896	0.5394794	0.6639170	0.0035106	0.0932784	0.3232823	0.7313954	0.6890750	0.3784236	0.0382513	0.1130619	0.0857029	0.2750483	0.6238306	0.1492314	0.0586980	0.3911934
75	0.6564240	0.0429955	0.1267094	0.5431903	0.4561758	0.4974051	0.3292624	0.0544236	0.2992417	0.3430190	0.2499496	0.3095209	0.3331288	0.1214121	0.5285628	0.1449127	0.1442271	0.0348049	0.5812003	0.6718853	0.6780957	0.5091600	0.2799236	0.5161919	0.4076995	0.3740498	0.5881338	0.0988225	0.2016736	0.1357220	0.4519797	0.0210626	0.4321751	0.0025001	0.5905061	0.0133788	0.6814493	0.0199617	0.0867431	0.1984089	0.5100479	0.6839180	0.4202663	0.7037997	0.4262971	0.1480908	0.2557272	0.1820526	0.4568198	0.6645309	0.0224477	0.1332687	0.2639186	0.7039135	0.6241506	0.3901129	0.0608548	0.1724946	0.1050249	0.2867314	0.5497162	0.2404359	0.0447030	0.4841077
80	0.6032276	0.0452035	0.1453840	0.6868521	0.3742931	0.5960456	0.2785713	0.0536081	0.2128108	0.3254957	0.2786949	0.2307316	0.3586003	0.0713672	0.5700549	0.1020291	0.1373390	0.0345982	0.6260822	0.5172585	0.5657560	0.5763469	0.2447620	0.5758804	0.4319083	0.3044110	0.4307947	0.0755634	0.1824103	0.1243349	0.5000480	0.0249563	0.4986504	0.0008719	0.5839125	0.0026014	0.6618108	0.0123386	0.0534471	0.1891861	0.5389012	0.6578511	0.4840582	0.7708621	0.5568249	0.1861163	0.4558845	0.1900339	0.4584763	0.6065816	0.0056289	0.0947525	0.3313342	0.7763105	0.7559152	0.3853381	0.0563278	0.1136516	0.1185942	0.2780984	0.5654824	0.2190195	0.0412380	0.3902070
85	0.6174692	0.0392461	0.1636913	0.6822985	0.3961428	0.6329567	0.2987813	0.0588610	0.2165804	0.2845493	0.1842777	0.2674056	0.4352807	0.1319683	0.6232634	0.0789519	0.1628438	0.0450583	0.5919678	0.5738064	0.6142661	0.5390986	0.3236285	0.5879896	0.4367226	0.2795304	0.4310612	0.1554755	0.2011196	0.1338091	0.4351296	0.0253474	0.5524476	0.0040134	0.5927882	0.0224871	0.6743473	0.0396579	0.0939648	0.1560252	0.7036003	0.7671251	0.3758631	0.7321479	0.4334879	0.1803648	0.2621387	0.1324816	0.4949442	0.6403552	0.0013794	0.1072441	0.4163342	0.6262199	0.7321739	0.3125297	0.0789604	0.0926453	0.1191532	0.3241049	0.4294127	0.2712814	0.0172407	0.3644540
90	0.6694247	0.0322610	0.1404040	0.8094158	0.4673745	0.5839467	0.2720941	0.0732715	0.2416156	0.4230958	0.3195159	0.3018906	0.3470557	0.1063068	0.6743944	0.1251717	0.1651122	0.0639347	0.5553389	0.5305645	0.5971829	0.5115021	0.2697648	0.4974678	0.4137298	0.3068241	0.4342544	0.0759524	0.1777791	0.1630770	0.4317514	0.0201170	0.5350249	0.0039083	0.6542748	0.0077079	0.7275271	0.0049141	0.0679096	0.2532685	0.6170019	0.5673280	0.3609229	0.6843653	0.4862140	0.1252121	0.3589787	0.1780160	0.4766709	0.5402603	0.0007186	0.1401050	0.4788857	0.6019161	0.6703911	0.3382394	0.0297045	0.1192237	0.0729503	0.2709903	0.5327011	0.2741231	0.0259733	0.4479006
