"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63
45	0.2067619	0.0642542	0.1192466	0.6356412	0.2480430	0.5128615	0.2233083	0.0820095	0.1842358	0.2941217	0.3009391	0.2613242	0.3639549	0.1174113	0.5707604	0.1161511	0.1931960	0.0208228	0.5675436	0.5791760	0.5925850	0.4331869	0.3333976	0.5811349	0.4419329	0.3462190	0.2091059	0.1417112	0.3092494	0.1055333	0.3256700	0.0236702	0.6481142	0.0001644	0.7057917	0.0173661	0.6272776	0.0432957	0.0739316	0.0401297	0.4043973	0.5122655	0.4369017	0.6273217	0.5058484	0.1252558	0.4049418	0.3232587	0.6149938	0.5435771	0.0120884	0.1194936	0.6697574	0.6742803	0.5698154	0.4461503	0.0548681	0.1599575	0.2150398	0.3937100	0.4374288	0.2843610	0.0807277	0.5593057
50	0.1969850	0.0737353	0.1350801	0.5809354	0.3190288	0.5284003	0.2778233	0.0422114	0.2134214	0.3333941	0.3125977	0.2075130	0.3647893	0.1248310	0.6383986	0.1090539	0.1687592	0.0611498	0.5704969	0.5474075	0.5795011	0.4738341	0.3428866	0.5798912	0.3569862	0.3905201	0.2991828	0.1745313	0.2904503	0.0965557	0.2791612	0.0156612	0.6448958	0.0002975	0.6681599	0.0091260	0.6850661	0.0389199	0.0405548	0.0552214	0.5868782	0.4493051	0.3591585	0.7932744	0.4943286	0.0807799	0.3942063	0.2563990	0.6040082	0.5760079	0.0190284	0.1531160	0.7526779	0.6250648	0.5965522	0.4509811	0.0619939	0.1405774	0.1505935	0.3547165	0.3969638	0.2764059	0.0738351	0.5200433
55	0.1428914	0.1085279	0.0878106	0.7020838	0.2450503	0.5970312	0.2914365	0.0759712	0.2251426	0.3378478	0.3144809	0.2414234	0.3335966	0.1278379	0.5718466	0.0688080	0.1451528	0.0240970	0.6489132	0.6473009	0.6585837	0.4495893	0.3276273	0.5096122	0.4500694	0.4229984	0.2674328	0.1287050	0.3448263	0.1466009	0.3273203	0.0110672	0.7010701	0.0007017	0.6512209	0.0111428	0.6976994	0.0327572	0.0180629	0.0437552	0.5277896	0.5518271	0.3918087	0.6337610	0.6058729	0.1271990	0.3889001	0.2588054	0.7346790	0.4837012	0.0017123	0.2087555	0.6589573	0.6739334	0.6398765	0.4561241	0.0577024	0.1513997	0.1609845	0.3122373	0.4271604	0.2533085	0.0539431	0.5254795
60	0.0932518	0.0674899	0.1167905	0.6542879	0.2563448	0.4663858	0.3164490	0.0325766	0.2147183	0.4631192	0.2818288	0.2001031	0.3741494	0.1851799	0.5711918	0.0605535	0.1746804	0.0347974	0.5054040	0.5857635	0.6080867	0.4459737	0.3605883	0.5587447	0.3674420	0.4299251	0.2213535	0.1469109	0.3085110	0.2292596	0.3470170	0.0198076	0.6989943	0.0031162	0.6783928	0.0090402	0.6105286	0.0264271	0.0331062	0.0301854	0.4513354	0.5186274	0.3482513	0.6022612	0.4618909	0.1406554	0.3043506	0.2177169	0.6786070	0.5285126	0.0119546	0.2329188	0.5955873	0.6426386	0.4939723	0.4571143	0.0501029	0.1833641	0.1505202	0.3333039	0.5303963	0.2366790	0.0713280	0.4906894
65	0.1114814	0.1135088	0.1221074	0.6498677	0.1821293	0.4956184	0.3817684	0.0586476	0.1965256	0.4228731	0.2736025	0.2156103	0.3544018	0.1779994	0.5308238	0.0935306	0.1593994	0.0489910	0.5423226	0.4672193	0.6441704	0.4406394	0.3212470	0.6082295	0.4256578	0.3385230	0.1991335	0.1633830	0.3799524	0.1908131	0.4098169	0.0192579	0.6811340	0.0016575	0.7516034	0.0094471	0.5548458	0.0435032	0.0287948	0.0395461	0.4575014	0.5339154	0.3474282	0.6699468	0.4643614	0.1404399	0.3106682	0.2681232	0.5383996	0.6263638	0.0039824	0.1924852	0.6303808	0.6719594	0.6006140	0.5653702	0.0623528	0.1002763	0.2048991	0.3151739	0.4889645	0.3390502	0.0989147	0.3820058
70	0.0766304	0.1095851	0.1147708	0.5515543	0.2280766	0.4650728	0.3869637	0.0586671	0.1966830	0.3751769	0.2531720	0.2947807	0.4293671	0.1464280	0.5678896	0.0675077	0.1698438	0.0315822	0.5998434	0.5582698	0.6115694	0.4642700	0.2589027	0.5892798	0.2916340	0.3110984	0.1647531	0.1333840	0.3519721	0.1394438	0.4758644	0.0242363	0.6595505	0.0001966	0.7179466	0.0269272	0.6840348	0.0416233	0.0320756	0.0312299	0.4174330	0.5602356	0.3099704	0.6273912	0.4982480	0.1809449	0.3383580	0.3233230	0.7037706	0.6365093	0.0059498	0.2706106	0.7076782	0.6812735	0.5038473	0.5206563	0.0794820	0.1248648	0.1879947	0.2767023	0.4246032	0.2940602	0.0915140	0.4718414
75	0.0874205	0.1872782	0.0972453	0.7437954	0.2132521	0.4651081	0.2790494	0.0622961	0.2317005	0.3643869	0.2809780	0.2553615	0.3156328	0.0945836	0.5224192	0.0732017	0.1444299	0.0299743	0.3951836	0.6034007	0.6402976	0.4487532	0.2877619	0.5033298	0.3503019	0.3252552	0.1838758	0.1290514	0.3607858	0.1301576	0.3225849	0.0288256	0.5885218	0.0007415	0.7086840	0.0238384	0.7897061	0.0550747	0.0326026	0.0409583	0.4441484	0.5969645	0.3858549	0.6183308	0.5444419	0.1417600	0.4753826	0.2449699	0.5853169	0.5705454	0.0146025	0.1973996	0.6177534	0.7499339	0.5936952	0.4321764	0.0589680	0.1422324	0.1902308	0.3154507	0.3984004	0.2810491	0.0979916	0.3617166
80	0.0499957	0.1587210	0.0777523	0.5488566	0.1719367	0.4453997	0.2993803	0.0307067	0.2662757	0.3959666	0.3113736	0.2139458	0.3485611	0.1071759	0.5265307	0.0601696	0.0999452	0.0382938	0.4223635	0.6886797	0.6532369	0.4242141	0.2523968	0.5120515	0.3539750	0.2517983	0.1878469	0.1817411	0.4125267	0.0965851	0.3266075	0.0228898	0.6498630	0.0016142	0.7741582	0.0284813	0.6679754	0.0745535	0.0368169	0.0315665	0.5632244	0.4599845	0.3813351	0.6332614	0.5498687	0.1108779	0.2684934	0.3777970	0.6880555	0.5720367	0.0542513	0.1673027	0.5916480	0.6877825	0.5272859	0.4112697	0.0821321	0.1838845	0.1986833	0.2517725	0.3726613	0.3310529	0.0807794	0.4473443
85	0.0411772	0.1141998	0.1137407	0.6789355	0.1943194	0.5535448	0.2758179	0.0372492	0.1973333	0.4075729	0.3716859	0.1763003	0.3514138	0.1550937	0.4709032	0.0298725	0.1675254	0.0799494	0.4556593	0.5283426	0.7559298	0.3461794	0.2946937	0.4552849	0.3477773	0.3207402	0.2101742	0.1462805	0.3922219	0.1111400	0.2889308	0.0115164	0.6330164	0.0028823	0.6868850	0.0156878	0.5463968	0.0859798	0.0282029	0.0474021	0.5055689	0.5139504	0.3884128	0.5943004	0.5780057	0.1723912	0.3456951	0.3188475	0.5892899	0.5709254	0.0262160	0.1920428	0.6150078	0.6980285	0.5229438	0.6108908	0.1132890	0.1444925	0.1676267	0.2634999	0.3646901	0.3237177	0.1117209	0.4245588
90	0.0285488	0.2104684	0.0697993	0.6176759	0.0962451	0.4770930	0.3445658	0.0468612	0.1767728	0.3804784	0.3395058	0.2490632	0.3273194	0.2008420	0.4608831	0.0532994	0.1208099	0.0820650	0.4141850	0.4500165	0.7109462	0.4787584	0.2907467	0.4376980	0.3826437	0.3468104	0.2194805	0.1977696	0.4077940	0.1489863	0.2055325	0.0336911	0.7834349	0.0000000	0.6705492	0.0096758	0.6399812	0.1238673	0.0401684	0.0317198	0.5644420	0.4817235	0.3350201	0.7649756	0.4415668	0.1955482	0.2946010	0.3611783	0.6208379	0.6047677	0.0536973	0.2266764	0.6350563	0.7304593	0.6890444	0.5322612	0.0928108	0.1870123	0.2281465	0.2139148	0.3761142	0.3154176	0.1459966	0.4707008
